text_id,category,source_text,target_text,target_lang,quality_score,fluency_score,adequacy_score,contains_worldview_term,text_length,quality_grade,category_encoded,target_lang_encoded,quality_encoded
TXT001,UI,전투 시작,Start Battle,en,0.932,0.776,0.958,0,5,excellent,0,0,1
TXT001,UI,전투 시작,バトル開始,ja,0.909,0.638,0.993,0,5,excellent,0,1,1
TXT001,UI,전투 시작,开始战斗,zh,0.928,0.914,0.738,0,5,excellent,0,2,1
TXT002,UI,스테이지 클리어,Stage Clear,en,0.835,0.748,0.978,0,8,good,0,0,2
TXT002,UI,스테이지 클리어,ステージクリア,ja,0.893,0.929,0.833,0,8,good,0,1,2
TXT002,UI,스테이지 클리어,关卡通关,zh,0.768,0.822,0.719,0,8,acceptable,0,2,0
TXT003,UI,보물을 획득했습니다!,Treasure obtained!,en,0.948,0.853,0.927,0,11,excellent,0,0,1
TXT003,UI,보물을 획득했습니다!,宝物を獲得しました！,ja,0.806,0.988,0.968,0,11,good,0,1,2
TXT003,UI,보물을 획득했습니다!,获得了宝物！,zh,0.934,0.678,0.84,0,11,excellent,0,2,1
TXT004,story,오븐에서 탈출해야 해!,I must escape from the oven!,en,0.713,0.662,0.905,1,12,acceptable,7,0,0
TXT004,story,오븐에서 탈출해야 해!,オーブンから脱出しなきゃ！,ja,0.923,0.987,0.798,1,12,excellent,7,1,1
TXT004,story,오븐에서 탈출해야 해!,必须从烤箱逃出去！,zh,0.811,0.788,0.757,1,12,good,7,2,2
TXT005,story,"친구들, 같이 가자!","Friends, let's go together!",en,0.739,0.79,0.768,0,11,acceptable,7,0,0
TXT005,story,"친구들, 같이 가자!",みんな、一緒に行こう！,ja,0.901,0.775,0.95,0,11,excellent,7,1,1
TXT005,story,"친구들, 같이 가자!",朋友们，一起走吧！,zh,0.91,0.725,0.95,0,11,excellent,7,2,1
TXT006,skill,나의 힘을 받아라!,Feel my power!,en,0.941,0.755,0.786,0,10,excellent,6,0,1
TXT006,skill,나의 힘을 받아라!,私の力を受けろ！,ja,0.905,0.656,0.76,0,10,excellent,6,1,1
TXT006,skill,나의 힘을 받아라!,接受我的力量吧！,zh,0.702,0.915,0.899,0,10,acceptable,6,2,0
TXT007,skill,모두를 지켜줄게!,I'll protect everyone!,en,0.912,0.912,0.838,0,9,excellent,6,0,1
TXT007,skill,모두를 지켜줄게!,みんなを守るよ！,ja,0.871,0.656,0.734,0,9,good,6,1,2
TXT007,skill,모두를 지켜줄게!,我会保护大家的！,zh,0.901,0.788,0.87,0,9,excellent,6,2,1
TXT008,dialog,이 맛은... 마녀의 저주!,This taste... the witch's curse!,en,0.929,0.854,0.866,1,15,excellent,2,0,1
TXT008,dialog,이 맛은... 마녀의 저주!,この味は…魔女の呪い！,ja,0.868,0.722,0.709,1,15,good,2,1,2
TXT008,dialog,이 맛은... 마녀의 저주!,这个味道...是魔女的诅咒！,zh,0.831,0.686,0.823,1,15,good,2,2,2
TXT009,dialog,쿠키들의 왕국을 세우자!,Let's build a kingdom for cookies!,en,0.956,0.694,0.717,0,13,excellent,2,0,1
TXT009,dialog,쿠키들의 왕국을 세우자!,クッキーたちの王国を作ろう！,ja,0.784,0.717,0.899,0,13,acceptable,2,1,0
TXT009,dialog,쿠키들의 왕국을 세우자!,建立饼干们的王国吧！,zh,0.867,0.914,0.899,0,13,good,2,2,2
TXT010,item,체력 회복 젤리,HP Recovery Jelly,en,0.822,0.926,0.75,1,8,good,3,0,2
TXT010,item,체력 회복 젤리,体力回復ゼリー,ja,0.707,0.636,0.917,1,8,acceptable,3,1,0
TXT010,item,체력 회복 젤리,体力恢复果冻,zh,0.839,0.665,0.85,1,8,good,3,2,2
SYN0000,notice,[합성 텍스트 0],[Synthetic 0],en,0.817,0.79,0.816,0,19,good,4,0,2
SYN0000,notice,[합성 텍스트 0],[Synthetic 0],ja,0.742,0.631,0.734,0,19,acceptable,4,1,0
SYN0000,notice,[합성 텍스트 0],[Synthetic 0],zh,0.618,0.7,0.882,0,19,needs_review,4,2,3
SYN0001,dialog,[합성 텍스트 1],[Synthetic 1],en,0.88,0.764,0.909,0,71,good,2,0,2
SYN0001,dialog,[합성 텍스트 1],[Synthetic 1],ja,0.657,0.779,0.774,0,71,needs_review,2,1,3
SYN0001,dialog,[합성 텍스트 1],[Synthetic 1],zh,0.716,0.884,0.712,0,71,acceptable,2,2,0
SYN0002,quest,[합성 텍스트 2],[Synthetic 2],en,0.691,0.655,0.856,0,34,needs_review,5,0,3
SYN0002,quest,[합성 텍스트 2],[Synthetic 2],ja,0.697,0.823,0.852,0,34,needs_review,5,1,3
SYN0002,quest,[합성 텍스트 2],[Synthetic 2],zh,0.91,0.776,0.768,0,34,excellent,5,2,1
SYN0003,achievement,[합성 텍스트 3],[Synthetic 3],en,0.886,0.884,0.879,0,44,good,1,0,2
SYN0003,achievement,[합성 텍스트 3],[Synthetic 3],ja,0.896,0.681,0.799,0,44,good,1,1,2
SYN0003,achievement,[합성 텍스트 3],[Synthetic 3],zh,0.657,0.761,0.74,0,44,needs_review,1,2,3
SYN0004,item,[합성 텍스트 4],[Synthetic 4],en,0.653,0.698,0.875,0,61,needs_review,3,0,3
SYN0004,item,[합성 텍스트 4],[Synthetic 4],ja,0.884,1.0,1.0,0,61,good,3,1,2
SYN0004,item,[합성 텍스트 4],[Synthetic 4],zh,0.841,0.701,0.679,0,61,good,3,2,2
SYN0005,achievement,[합성 텍스트 5],[Synthetic 5],en,0.708,0.739,0.839,0,30,acceptable,1,0,0
SYN0005,achievement,[합성 텍스트 5],[Synthetic 5],ja,0.857,0.816,0.837,0,30,good,1,1,2
SYN0005,achievement,[합성 텍스트 5],[Synthetic 5],zh,0.646,0.633,0.811,0,30,needs_review,1,2,3
SYN0006,UI,[합성 텍스트 6],[Synthetic 6],en,0.977,0.813,0.929,0,31,excellent,0,0,1
SYN0006,UI,[합성 텍스트 6],[Synthetic 6],ja,0.75,0.682,0.773,0,31,acceptable,0,1,0
SYN0006,UI,[합성 텍스트 6],[Synthetic 6],zh,0.727,1.0,0.784,0,31,acceptable,0,2,0
SYN0007,dialog,[합성 텍스트 7],[Synthetic 7],en,0.843,0.838,0.837,0,81,good,2,0,2
SYN0007,dialog,[합성 텍스트 7],[Synthetic 7],ja,0.746,0.735,0.886,0,81,acceptable,2,1,0
SYN0007,dialog,[합성 텍스트 7],[Synthetic 7],zh,0.705,0.677,0.748,0,81,acceptable,2,2,0
SYN0008,story,[합성 텍스트 8],[Synthetic 8],en,0.716,0.788,0.873,1,89,acceptable,7,0,0
SYN0008,story,[합성 텍스트 8],[Synthetic 8],ja,0.831,0.822,0.817,1,89,good,7,1,2
SYN0008,story,[합성 텍스트 8],[Synthetic 8],zh,0.811,0.843,0.973,1,89,good,7,2,2
SYN0009,dialog,[합성 텍스트 9],[Synthetic 9],en,0.563,0.965,0.988,1,29,needs_review,2,0,3
SYN0009,dialog,[합성 텍스트 9],[Synthetic 9],ja,0.682,0.762,0.967,1,29,needs_review,2,1,3
SYN0009,dialog,[합성 텍스트 9],[Synthetic 9],zh,0.589,0.711,0.901,1,29,needs_review,2,2,3
SYN0010,skill,[합성 텍스트 10],[Synthetic 10],en,0.734,0.834,0.963,0,97,acceptable,6,0,0
SYN0010,skill,[합성 텍스트 10],[Synthetic 10],ja,0.759,0.864,0.686,0,97,acceptable,6,1,0
SYN0010,skill,[합성 텍스트 10],[Synthetic 10],zh,0.745,0.716,0.752,0,97,acceptable,6,2,0
SYN0011,dialog,[합성 텍스트 11],[Synthetic 11],en,0.792,0.667,0.852,1,23,acceptable,2,0,0
SYN0011,dialog,[합성 텍스트 11],[Synthetic 11],ja,0.652,0.767,0.93,1,23,needs_review,2,1,3
SYN0011,dialog,[합성 텍스트 11],[Synthetic 11],zh,0.754,0.934,0.838,1,23,acceptable,2,2,0
SYN0012,notice,[합성 텍스트 12],[Synthetic 12],en,0.774,0.818,0.763,0,92,acceptable,4,0,0
SYN0012,notice,[합성 텍스트 12],[Synthetic 12],ja,0.759,0.823,1.0,0,92,acceptable,4,1,0
SYN0012,notice,[합성 텍스트 12],[Synthetic 12],zh,0.938,0.715,0.827,0,92,excellent,4,2,1
SYN0013,dialog,[합성 텍스트 13],[Synthetic 13],en,0.732,0.921,0.792,1,49,acceptable,2,0,0
SYN0013,dialog,[합성 텍스트 13],[Synthetic 13],ja,0.635,0.585,0.837,1,49,needs_review,2,1,3
SYN0013,dialog,[합성 텍스트 13],[Synthetic 13],zh,0.594,0.747,0.78,1,49,needs_review,2,2,3
SYN0014,UI,[합성 텍스트 14],[Synthetic 14],en,0.603,1.0,0.747,1,66,needs_review,0,0,3
SYN0014,UI,[합성 텍스트 14],[Synthetic 14],ja,0.64,0.984,1.0,1,66,needs_review,0,1,3
SYN0014,UI,[합성 텍스트 14],[Synthetic 14],zh,0.633,0.763,0.877,1,66,needs_review,0,2,3
SYN0015,story,[합성 텍스트 15],[Synthetic 15],en,0.725,0.878,0.885,0,83,acceptable,7,0,0
SYN0015,story,[합성 텍스트 15],[Synthetic 15],ja,0.712,0.787,0.74,0,83,acceptable,7,1,0
SYN0015,story,[합성 텍스트 15],[Synthetic 15],zh,0.726,0.773,0.869,0,83,acceptable,7,2,0
SYN0016,achievement,[합성 텍스트 16],[Synthetic 16],en,0.851,0.816,0.878,0,10,good,1,0,2
SYN0016,achievement,[합성 텍스트 16],[Synthetic 16],ja,0.755,0.8,0.792,0,10,acceptable,1,1,0
SYN0016,achievement,[합성 텍스트 16],[Synthetic 16],zh,0.782,0.79,1.0,0,10,acceptable,1,2,0
SYN0017,quest,[합성 텍스트 17],[Synthetic 17],en,0.674,0.689,0.945,0,59,needs_review,5,0,3
SYN0017,quest,[합성 텍스트 17],[Synthetic 17],ja,0.776,0.848,0.71,0,59,acceptable,5,1,0
SYN0017,quest,[합성 텍스트 17],[Synthetic 17],zh,0.843,0.845,0.761,0,59,good,5,2,2
SYN0018,skill,[합성 텍스트 18],[Synthetic 18],en,0.705,0.771,0.842,1,81,acceptable,6,0,0
SYN0018,skill,[합성 텍스트 18],[Synthetic 18],ja,0.675,0.815,0.968,1,81,needs_review,6,1,3
SYN0018,skill,[합성 텍스트 18],[Synthetic 18],zh,0.443,0.776,0.864,1,81,needs_review,6,2,3
SYN0019,story,[합성 텍스트 19],[Synthetic 19],en,0.574,0.833,0.988,0,30,needs_review,7,0,3
SYN0019,story,[합성 텍스트 19],[Synthetic 19],ja,0.597,0.886,0.824,0,30,needs_review,7,1,3
SYN0019,story,[합성 텍스트 19],[Synthetic 19],zh,0.744,0.695,0.823,0,30,acceptable,7,2,0
SYN0020,achievement,[합성 텍스트 20],[Synthetic 20],en,0.873,0.918,0.885,1,95,good,1,0,2
SYN0020,achievement,[합성 텍스트 20],[Synthetic 20],ja,0.874,0.844,0.916,1,95,good,1,1,2
SYN0020,achievement,[합성 텍스트 20],[Synthetic 20],zh,0.67,0.807,0.794,1,95,needs_review,1,2,3
SYN0021,story,[합성 텍스트 21],[Synthetic 21],en,0.828,0.781,0.944,0,74,good,7,0,2
SYN0021,story,[합성 텍스트 21],[Synthetic 21],ja,0.825,0.982,0.908,0,74,good,7,1,2
SYN0021,story,[합성 텍스트 21],[Synthetic 21],zh,0.593,0.793,0.756,0,74,needs_review,7,2,3
SYN0022,story,[합성 텍스트 22],[Synthetic 22],en,0.814,0.73,0.769,0,81,good,7,0,2
SYN0022,story,[합성 텍스트 22],[Synthetic 22],ja,0.753,0.678,0.796,0,81,acceptable,7,1,0
SYN0022,story,[합성 텍스트 22],[Synthetic 22],zh,0.781,0.916,0.899,0,81,acceptable,7,2,0
SYN0023,dialog,[합성 텍스트 23],[Synthetic 23],en,0.757,0.841,0.979,0,49,acceptable,2,0,0
SYN0023,dialog,[합성 텍스트 23],[Synthetic 23],ja,0.544,0.741,0.897,0,49,needs_review,2,1,3
SYN0023,dialog,[합성 텍스트 23],[Synthetic 23],zh,0.592,0.948,0.879,0,49,needs_review,2,2,3
SYN0024,quest,[합성 텍스트 24],[Synthetic 24],en,0.781,0.907,0.869,1,44,acceptable,5,0,0
SYN0024,quest,[합성 텍스트 24],[Synthetic 24],ja,0.723,0.827,0.781,1,44,acceptable,5,1,0
SYN0024,quest,[합성 텍스트 24],[Synthetic 24],zh,0.685,0.785,0.881,1,44,needs_review,5,2,3
SYN0025,UI,[합성 텍스트 25],[Synthetic 25],en,0.787,0.948,0.791,0,93,acceptable,0,0,0
SYN0025,UI,[합성 텍스트 25],[Synthetic 25],ja,0.718,0.82,0.918,0,93,acceptable,0,1,0
SYN0025,UI,[합성 텍스트 25],[Synthetic 25],zh,0.801,0.933,0.919,0,93,good,0,2,2
SYN0026,achievement,[합성 텍스트 26],[Synthetic 26],en,0.983,0.779,0.69,0,95,excellent,1,0,1
SYN0026,achievement,[합성 텍스트 26],[Synthetic 26],ja,0.91,0.754,0.859,0,95,excellent,1,1,1
SYN0026,achievement,[합성 텍스트 26],[Synthetic 26],zh,0.881,0.64,0.75,0,95,good,1,2,2
SYN0027,notice,[합성 텍스트 27],[Synthetic 27],en,0.794,0.852,0.872,0,48,acceptable,4,0,0
SYN0027,notice,[합성 텍스트 27],[Synthetic 27],ja,0.609,0.569,0.854,0,48,needs_review,4,1,3
SYN0027,notice,[합성 텍스트 27],[Synthetic 27],zh,0.703,0.846,0.906,0,48,acceptable,4,2,0
SYN0028,quest,[합성 텍스트 28],[Synthetic 28],en,0.764,0.876,0.868,0,99,acceptable,5,0,0
SYN0028,quest,[합성 텍스트 28],[Synthetic 28],ja,0.803,0.73,0.836,0,99,good,5,1,2
SYN0028,quest,[합성 텍스트 28],[Synthetic 28],zh,0.77,0.882,0.819,0,99,acceptable,5,2,0
SYN0029,skill,[합성 텍스트 29],[Synthetic 29],en,0.738,0.883,0.691,0,67,acceptable,6,0,0
SYN0029,skill,[합성 텍스트 29],[Synthetic 29],ja,0.62,0.652,0.663,0,67,needs_review,6,1,3
SYN0029,skill,[합성 텍스트 29],[Synthetic 29],zh,0.682,0.875,0.827,0,67,needs_review,6,2,3
SYN0030,UI,[합성 텍스트 30],[Synthetic 30],en,0.933,0.793,0.958,0,78,excellent,0,0,1
SYN0030,UI,[합성 텍스트 30],[Synthetic 30],ja,0.809,0.716,0.802,0,78,good,0,1,2
SYN0030,UI,[합성 텍스트 30],[Synthetic 30],zh,0.652,0.711,0.821,0,78,needs_review,0,2,3
SYN0031,UI,[합성 텍스트 31],[Synthetic 31],en,0.612,0.839,0.767,1,72,needs_review,0,0,3
SYN0031,UI,[합성 텍스트 31],[Synthetic 31],ja,0.797,0.787,0.704,1,72,acceptable,0,1,0
SYN0031,UI,[합성 텍스트 31],[Synthetic 31],zh,0.843,0.739,0.807,1,72,good,0,2,2
SYN0032,dialog,[합성 텍스트 32],[Synthetic 32],en,0.793,0.781,0.876,0,98,acceptable,2,0,0
SYN0032,dialog,[합성 텍스트 32],[Synthetic 32],ja,0.786,0.932,0.823,0,98,acceptable,2,1,0
SYN0032,dialog,[합성 텍스트 32],[Synthetic 32],zh,0.602,0.907,0.823,0,98,needs_review,2,2,3
SYN0033,dialog,[합성 텍스트 33],[Synthetic 33],en,0.737,0.835,1.0,0,94,acceptable,2,0,0
SYN0033,dialog,[합성 텍스트 33],[Synthetic 33],ja,0.958,0.807,0.863,0,94,excellent,2,1,1
SYN0033,dialog,[합성 텍스트 33],[Synthetic 33],zh,0.858,0.715,0.877,0,94,good,2,2,2
SYN0034,dialog,[합성 텍스트 34],[Synthetic 34],en,0.667,0.641,0.684,0,65,needs_review,2,0,3
SYN0034,dialog,[합성 텍스트 34],[Synthetic 34],ja,0.638,0.754,0.827,0,65,needs_review,2,1,3
SYN0034,dialog,[합성 텍스트 34],[Synthetic 34],zh,0.944,0.911,0.773,0,65,excellent,2,2,1
SYN0035,skill,[합성 텍스트 35],[Synthetic 35],en,0.672,0.819,0.9,1,58,needs_review,6,0,3
SYN0035,skill,[합성 텍스트 35],[Synthetic 35],ja,0.666,0.906,0.759,1,58,needs_review,6,1,3
SYN0035,skill,[합성 텍스트 35],[Synthetic 35],zh,0.701,1.0,0.868,1,58,acceptable,6,2,0
SYN0036,achievement,[합성 텍스트 36],[Synthetic 36],en,0.758,0.794,0.836,1,74,acceptable,1,0,0
SYN0036,achievement,[합성 텍스트 36],[Synthetic 36],ja,0.622,0.843,0.782,1,74,needs_review,1,1,3
SYN0036,achievement,[합성 텍스트 36],[Synthetic 36],zh,0.767,0.909,0.879,1,74,acceptable,1,2,0
SYN0037,UI,[합성 텍스트 37],[Synthetic 37],en,0.769,0.894,0.703,0,31,acceptable,0,0,0
SYN0037,UI,[합성 텍스트 37],[Synthetic 37],ja,0.766,0.601,0.73,0,31,acceptable,0,1,0
SYN0037,UI,[합성 텍스트 37],[Synthetic 37],zh,0.936,0.89,0.792,0,31,excellent,0,2,1
SYN0038,quest,[합성 텍스트 38],[Synthetic 38],en,0.696,1.0,0.885,0,16,needs_review,5,0,3
SYN0038,quest,[합성 텍스트 38],[Synthetic 38],ja,0.694,0.847,0.725,0,16,needs_review,5,1,3
SYN0038,quest,[합성 텍스트 38],[Synthetic 38],zh,0.72,0.81,0.843,0,16,acceptable,5,2,0
SYN0039,quest,[합성 텍스트 39],[Synthetic 39],en,0.817,0.731,0.922,0,24,good,5,0,2
SYN0039,quest,[합성 텍스트 39],[Synthetic 39],ja,0.913,0.703,0.779,0,24,excellent,5,1,1
SYN0039,quest,[합성 텍스트 39],[Synthetic 39],zh,0.884,0.781,0.962,0,24,good,5,2,2
SYN0040,achievement,[합성 텍스트 40],[Synthetic 40],en,0.763,0.826,0.975,0,42,acceptable,1,0,0
SYN0040,achievement,[합성 텍스트 40],[Synthetic 40],ja,0.714,0.706,0.814,0,42,acceptable,1,1,0
SYN0040,achievement,[합성 텍스트 40],[Synthetic 40],zh,0.795,0.643,0.901,0,42,acceptable,1,2,0
SYN0041,story,[합성 텍스트 41],[Synthetic 41],en,0.511,0.721,0.715,0,51,needs_review,7,0,3
SYN0041,story,[합성 텍스트 41],[Synthetic 41],ja,0.667,0.825,0.836,0,51,needs_review,7,1,3
SYN0041,story,[합성 텍스트 41],[Synthetic 41],zh,0.725,0.784,0.866,0,51,acceptable,7,2,0
SYN0042,quest,[합성 텍스트 42],[Synthetic 42],en,0.816,0.839,0.895,0,39,good,5,0,2
SYN0042,quest,[합성 텍스트 42],[Synthetic 42],ja,0.78,1.0,0.843,0,39,acceptable,5,1,0
SYN0042,quest,[합성 텍스트 42],[Synthetic 42],zh,0.719,0.725,0.767,0,39,acceptable,5,2,0
SYN0043,dialog,[합성 텍스트 43],[Synthetic 43],en,0.699,0.711,0.844,0,37,needs_review,2,0,3
SYN0043,dialog,[합성 텍스트 43],[Synthetic 43],ja,0.783,0.805,0.789,0,37,acceptable,2,1,0
SYN0043,dialog,[합성 텍스트 43],[Synthetic 43],zh,0.84,0.874,0.837,0,37,good,2,2,2
SYN0044,item,[합성 텍스트 44],[Synthetic 44],en,0.819,0.655,0.845,0,93,good,3,0,2
SYN0044,item,[합성 텍스트 44],[Synthetic 44],ja,0.826,0.71,0.865,0,93,good,3,1,2
SYN0044,item,[합성 텍스트 44],[Synthetic 44],zh,0.655,0.934,0.95,0,93,needs_review,3,2,3
SYN0045,notice,[합성 텍스트 45],[Synthetic 45],en,0.459,0.684,0.826,1,77,needs_review,4,0,3
SYN0045,notice,[합성 텍스트 45],[Synthetic 45],ja,0.593,0.871,1.0,1,77,needs_review,4,1,3
SYN0045,notice,[합성 텍스트 45],[Synthetic 45],zh,0.582,0.716,0.869,1,77,needs_review,4,2,3
SYN0046,dialog,[합성 텍스트 46],[Synthetic 46],en,0.725,0.982,0.718,1,97,acceptable,2,0,0
SYN0046,dialog,[합성 텍스트 46],[Synthetic 46],ja,0.572,0.758,0.808,1,97,needs_review,2,1,3
SYN0046,dialog,[합성 텍스트 46],[Synthetic 46],zh,0.781,0.824,0.708,1,97,acceptable,2,2,0
SYN0047,story,[합성 텍스트 47],[Synthetic 47],en,0.827,0.737,0.799,1,44,good,7,0,2
SYN0047,story,[합성 텍스트 47],[Synthetic 47],ja,0.754,0.876,0.886,1,44,acceptable,7,1,0
SYN0047,story,[합성 텍스트 47],[Synthetic 47],zh,0.531,0.854,0.767,1,44,needs_review,7,2,3
SYN0048,notice,[합성 텍스트 48],[Synthetic 48],en,0.745,0.719,0.747,1,69,acceptable,4,0,0
SYN0048,notice,[합성 텍스트 48],[Synthetic 48],ja,0.771,0.824,0.801,1,69,acceptable,4,1,0
SYN0048,notice,[합성 텍스트 48],[Synthetic 48],zh,0.845,0.756,0.853,1,69,good,4,2,2
SYN0049,notice,[합성 텍스트 49],[Synthetic 49],en,0.797,0.747,0.817,0,53,acceptable,4,0,0
SYN0049,notice,[합성 텍스트 49],[Synthetic 49],ja,0.886,0.696,0.657,0,53,good,4,1,2
SYN0049,notice,[합성 텍스트 49],[Synthetic 49],zh,0.911,1.0,0.818,0,53,excellent,4,2,1
SYN0050,quest,[합성 텍스트 50],[Synthetic 50],en,0.721,0.781,0.761,0,61,acceptable,5,0,0
SYN0050,quest,[합성 텍스트 50],[Synthetic 50],ja,0.808,0.852,0.73,0,61,good,5,1,2
SYN0050,quest,[합성 텍스트 50],[Synthetic 50],zh,0.82,1.0,0.864,0,61,good,5,2,2
SYN0051,achievement,[합성 텍스트 51],[Synthetic 51],en,0.812,0.627,0.863,0,43,good,1,0,2
SYN0051,achievement,[합성 텍스트 51],[Synthetic 51],ja,0.711,0.985,0.836,0,43,acceptable,1,1,0
SYN0051,achievement,[합성 텍스트 51],[Synthetic 51],zh,0.917,0.69,0.897,0,43,excellent,1,2,1
SYN0052,item,[합성 텍스트 52],[Synthetic 52],en,0.818,0.921,0.824,0,6,good,3,0,2
SYN0052,item,[합성 텍스트 52],[Synthetic 52],ja,0.631,0.798,0.778,0,6,needs_review,3,1,3
SYN0052,item,[합성 텍스트 52],[Synthetic 52],zh,0.766,0.792,0.714,0,6,acceptable,3,2,0
SYN0053,item,[합성 텍스트 53],[Synthetic 53],en,0.698,0.544,0.913,1,35,needs_review,3,0,3
SYN0053,item,[합성 텍스트 53],[Synthetic 53],ja,0.777,0.729,0.745,1,35,acceptable,3,1,0
SYN0053,item,[합성 텍스트 53],[Synthetic 53],zh,0.834,0.835,1.0,1,35,good,3,2,2
SYN0054,UI,[합성 텍스트 54],[Synthetic 54],en,0.733,0.882,0.9,1,58,acceptable,0,0,0
SYN0054,UI,[합성 텍스트 54],[Synthetic 54],ja,0.875,0.748,0.815,1,58,good,0,1,2
SYN0054,UI,[합성 텍스트 54],[Synthetic 54],zh,0.702,0.879,0.97,1,58,acceptable,0,2,0
SYN0055,dialog,[합성 텍스트 55],[Synthetic 55],en,0.731,0.775,0.926,1,67,acceptable,2,0,0
SYN0055,dialog,[합성 텍스트 55],[Synthetic 55],ja,0.475,0.717,0.787,1,67,needs_review,2,1,3
SYN0055,dialog,[합성 텍스트 55],[Synthetic 55],zh,0.468,0.704,0.777,1,67,needs_review,2,2,3
SYN0056,skill,[합성 텍스트 56],[Synthetic 56],en,0.725,0.697,0.845,0,54,acceptable,6,0,0
SYN0056,skill,[합성 텍스트 56],[Synthetic 56],ja,0.855,0.702,0.777,0,54,good,6,1,2
SYN0056,skill,[합성 텍스트 56],[Synthetic 56],zh,0.806,0.778,0.902,0,54,good,6,2,2
SYN0057,story,[합성 텍스트 57],[Synthetic 57],en,0.646,0.799,0.833,0,5,needs_review,7,0,3
SYN0057,story,[합성 텍스트 57],[Synthetic 57],ja,0.628,0.644,0.905,0,5,needs_review,7,1,3
SYN0057,story,[합성 텍스트 57],[Synthetic 57],zh,0.715,0.698,0.842,0,5,acceptable,7,2,0
SYN0058,story,[합성 텍스트 58],[Synthetic 58],en,0.6,0.708,0.967,0,35,needs_review,7,0,3
SYN0058,story,[합성 텍스트 58],[Synthetic 58],ja,0.778,0.877,0.759,0,35,acceptable,7,1,0
SYN0058,story,[합성 텍스트 58],[Synthetic 58],zh,0.638,0.845,0.855,0,35,needs_review,7,2,3
SYN0059,item,[합성 텍스트 59],[Synthetic 59],en,0.828,0.816,0.912,0,9,good,3,0,2
SYN0059,item,[합성 텍스트 59],[Synthetic 59],ja,0.881,0.638,0.67,0,9,good,3,1,2
SYN0059,item,[합성 텍스트 59],[Synthetic 59],zh,0.9,0.919,0.768,0,9,excellent,3,2,1
SYN0060,quest,[합성 텍스트 60],[Synthetic 60],en,0.843,0.98,0.891,0,85,good,5,0,2
SYN0060,quest,[합성 텍스트 60],[Synthetic 60],ja,0.713,0.711,0.851,0,85,acceptable,5,1,0
